meet_name,meet_url,year,month,state,level,season
The Bellarmine Invitational,https://wa.milesplit.com/meets/214273-the-bellarmine-invitational-2015/results,2015,9,WA,HS,XC
Tracy Walters Invitational,https://wa.milesplit.com/meets/214281-tracy-walters-invitational-2015/results,2015,9,WA,HS,XC
Run-A-Ree,https://wa.milesplit.com/meets/216952-run-a-ree-2015/results,2015,9,WA,HS,XC
3A Kingco Meet,https://wa.milesplit.com/meets/216948-3a-kingco-meet-2015/results,2015,9,WA,HS,XC
Gordy Roberton Invitational,https://wa.milesplit.com/meets/216950-gordy-roberton-invitational-2015/results,2015,9,WA,HS,XC
Olympic Jamboree,https://wa.milesplit.com/meets/216951-olympic-jamboree-2015/results,2015,9,WA,HS,XC
Seamount League Class Meet,https://wa.milesplit.com/meets/218455-seamount-league-class-meet-2015/results,2015,9,WA,HS,XC
Anacortes Meet,https://wa.milesplit.com/meets/216941-anacortes-meet-2015/results,2015,9,WA,HS,XC
Cascade Conference Preview,https://wa.milesplit.com/meets/216945-cascade-conference-preview-2015/results,2015,9,WA,HS,XC
Kentridge vs. Spanaway Lake,https://wa.milesplit.com/meets/216946-kentridge-vs-spanaway-lake-2015/results,2015,9,WA,HS,XC
Layden Christian Tri,https://wa.milesplit.com/meets/218453-layden-christian-tri-2015/results,2015,9,WA,HS,XC
Sehome Quad,https://wa.milesplit.com/meets/218452-sehome-quad-2015/results,2015,9,WA,HS,XC
La Center Jamboree,https://wa.milesplit.com/meets/216938-la-center-jamboree-2015/results,2015,9,WA,HS,XC
Wilbur Jamboree,https://www.milesplit.com/meets/216940-wilbur-jamboree-2015/results,2015,9,WA,HS,XC
Raven Pancake Jamboree,https://wa.milesplit.com/meets/216936-raven-pancake-jamboree-2015/results,2015,9,WA,HS,XC
Hanford Jamboree HS,https://wa.milesplit.com/meets/218215-hanford-jamboree-hs-2015/results,2015,9,WA,HS,XC
1B/2B Dist. 7/9 Championship,https://wa.milesplit.com/meets/222700-1b2b-dist-79-championship-2015/results,2015,10,WA,HS,XC
3A SeaKing & 4A Bi-District I/II Championships,https://wa.milesplit.com/meets/222689-3a-seaking-and-4a-bi-district-iii-championships-2015/results,2015,10,WA,HS,XC
3A/4A Regional Meet-Districts 5/8,https://wa.milesplit.com/meets/222690-3a4a-regional-meet-districts-58-2015/results,2015,10,WA,HS,XC
CWAC GNL Regional/CWAC District Championships,https://wa.milesplit.com/meets/222688-cwac-gnl-regionalcwac-district-championships-2015/results,2015,10,WA,HS,XC
District 1 Championships,https://wa.milesplit.com/meets/222687-district-1-cross-country-championships-2015/results,2015,10,WA,HS,XC
District 4 1A/2A Championships,https://wa.milesplit.com/meets/222658-district-4-1a2a-championships-2015/results,2015,10,WA,HS,XC
District 4 1B/2B Championships,https://wa.milesplit.com/meets/222683-district-4-1b2b-championships-2015/results,2015,10,WA,HS,XC
Westside Classic,https://wa.milesplit.com/meets/222679-westside-classic-2015/results,2015,10,WA,HS,XC
1A District 6,https://www.milesplit.com/meets/222569-1a-district-6-2015/results,2015,10,WA,HS,XC
District 5 1A Championship,https://wa.milesplit.com/meets/222686-district-5-1a-championship-2015/results,2015,10,WA,HS,XC
NCWAA 4A District 6,https://wa.milesplit.com/meets/222571-ncwaa-4a-district-6-2015/results,2015,10,WA,HS,XC
NEA District 7,https://wa.milesplit.com/meets/222572-nea-district-7-2015/results,2015,10,WA,HS,XC
3A/4A KingCo League Championships,https://www.milesplit.com/meets/222268-51th-3a4a-kingco-league-championships-2015/results,2015,10,WA,HS,XC
CW B League Championships,https://www.milesplit.com/meets/222269-cw-b-league-championships-2015/results,2015,10,WA,HS,XC
Dist. 7-9 2A/2B Championships,https://www.milesplit.com/meets/222270-dist-7-9-2a2b-championships-2015/results,2015,10,WA,HS,XC
GSL Freshmen/JV Championships,https://www.milesplit.com/meets/222272-gsl-freshmenjv-championships-2015/results,2015,10,WA,HS,XC
NE District 7 1B/2B Championship,https://www.milesplit.com/meets/222271-ne-district-7-1b2b-championship-2015/results,2015,10,WA,HS,XC
